currentid   ICAO_type
B-10TF      BE9L            
B-10TR      B350            
B-10U1      PC12            
B-10UF      P750            
B-10UN      KODI            
B-10UP      P750            
B-10UZ      P750            
B-10VN      P750            
B-10VP      P750            
B-10VQ      KODI            
B-10VX      KODI            
B-10VY      KODI            
B-12AD      B360            
B-12DM      B350            
B-12PV      PC12            
B-12PW      B360            
B-12R3      PC12            
B-12R5      PC12            
B-12R6      PC12            
B-12SY      B360            
B-100D      C208            
B-102P      B350            
B-102U      PC12            
B-103K      B350            
B-104W      P750            
B-106G      PC12            
B-107U      KODI            
B-107V      KODI            
B-124M      B350            
B-125D      B350            
B-0401      PC6T            
B-0402      PC6T            
B-0403      C208            
B-0405      C208            
B-0406      C208            
B-0407      C208            
B-0409      PC6T            
B-0410      PC6T            
B-0411      C208            
B-0412      PC6T            
B-0413      PC12            
B-0418      C208            
B-0419      PC6T            
B-0501      KODI            
B-0502      KODI            
B-0503      KODI            
B-0505      KODI            
B-932L      EPIC            
B-1204      B350            
B-3260      C208            
B-3261      C208            
B-3262      C208            
B-3521      B350            
B-3522      B350            
B-3523      B350            
B-3552      BE20            
B-3581      B350            
B-3582      B350            
B-3583      B350            
B-3586      B350            
B-3587      B350            
B-3588      B350            
B-3589      B350            
B-3625      PAY3            
B-3626      PAY3            
B-3630      C208            
B-3631      C208            
B-3632      C208            
B-3637      C208            
B-3639      C208            
B-3640      C208            
B-3641      C208            
B-3913      BE9L            
B-7751      BE9L            
B-7752      BE9L            
B-7753      BE9L            
B-7755      BE9L            
B-7756      BE9L            
B-7757      BE9L            
B-7758      BE9L            
B-7759      BE9L            
B-9056      KODI            
B-9057      KODI            
B-9298      PC6T            
B-9299      PC6T            
B-9327      C208            
B-9425      C208            
B-9426      C208            
B-9427      C208            
B-9428      C208            
B-9430      C208            
B-9457      C208            
B-9458      C208            
B-9459      C208            
B-9460      C208            
B-9461      C208            
B-9462      C208            
B-9463      C208            
B-9466      C208            
B-9467      C208            
B-9468      C208            
B-9469      C208            
B-9616      PC6T            
B-9617      C208            
B-9618      C208            
B-9619      C208            
B-9620      C208            
B-9621      PC6T            
B-9628      C208            
B-9631      C208            
B-9635      C208            
B-9636      C208            
B-9790      BE9L            
B-9791      BE9L            
B-9792      BE9L            
B-9793      BE9L            
B-9806      C208            
B-9807      C208            
B-9808      C208            
B-9810      C208            
B-9811      P750            
B-9812      PC6T            
B-9815      PC6T            
B-9816      C208            
B-9817      P750            
B-9820      C208            
B-9821      C208            
B-9822      C208            
B-9826      C208            
B-9827      C208            
B-9828      C208            
B-00101     B350            
B-00135     B350            
B-12203     BN2P            
B-23062     C208            
B-23063     C208            
B-36001     B360            
B-36002     B360            
B-68802     BN2P            
B-68808     BN2T            
B-69832     BN2P            
B-69896     BN2P            
NA-301      BE20            
C-          BE10            
C-          PC12            
C-          PC12            
C-          C208            
C-          PC6T            
C-          C208            
C-FAAL      C208            
C-FABN      PC12            
C-FACG      KODI            
C-FADO      C208            
C-FAFC      C208            
C-FAFF      B350            
C-FAFG      C208            
C-FAFJ      C208            
C-FAFM      BE20            
C-FAKN      BE20            
C-FAKP      AC90            
C-FAKV      C208            
C-FAKW      BE30            
C-FAKZ      C208            
C-FALD      PC12            
C-FAMK      C208            
C-FAND      TBM8            
C-FANJ      PC12            
C-FASB      BE10            
C-FAUV      KODI            
C-FAXY      PC12            
C-FAZE      TBM9            
C-FBBA      C208            
C-FBCL      B360            
C-FBDT      PC12            
C-FBKR      C208            
C-FBMN      PC6T            
C-FBOM      BE20            
C-FBPZ      BE20            
C-FBSF      TBM9            
C-FBYG      BE20            
C-FBYK      B360            
C-FCBZ      BE10            
C-FCDF      BE9T            
C-FCGB      BE20            
C-FCGT      BE20            
C-FCGU      BE20            
C-FCGW      BE20            
C-FCLB      PC12            
C-FCLH      BE9T            
C-FCOO      B360            
C-FCPK      P46T            
C-FCPM      C208            
C-FCVD      PC12            
C-FCZZ      AC90            
C-FDBD      AC90            
C-FDEB      BE20            
C-FDEO      PAY2            
C-FDJN      C208            
C-FDLE      TBM9            
C-FDNE      B350            
C-FDON      C208            
C-FDOS      BE10            
C-FDOU      BE10            
C-FDOV      BE10            
C-FDRX      B350            
C-FDRZ      B350            
C-FDTC      B350            
C-FDTP      BE30            
C-FDWM      BE20            
C-FEBO      PC12            
C-FEBS      B350            
C-FEPL      C208            
C-FEUP      C208            
C-FEXB      C208            
C-FEXD      C441            
C-FEXE      C208            
C-FEXF      C208            
C-FEXH      C208            
C-FEXN      C208            
C-FEXO      C208            
C-FEXW      C208            
C-FEXX      C208            
C-FEYP      BE10            
C-FFAN      B350            
C-FFAP      BE20            
C-FFAR      BE20            
C-FFDW      P46T            
C-FFGA      C208            
C-FFGN      BE20            
C-FFLA      C208            
C-FFPM      M600            
C-FFSS      MU2             
C-FFXD      C208            
C-FFYC      C208            
C-FFYR      C208            
C-FGAQ      BN2P            
C-FGEM      MU2             
C-FGFC      M600            
C-FGFL      PC12            
C-FGGE      B350            
C-FGMQ      PC12            
C-FGSS      BE30            
C-FGSU      BE30            
C-FGSX      BE30            
C-FGWR      BE20            
C-FGXE      BE9L            
C-FGXG      BE9L            
C-FGXH      BE9L            
C-FGXJ      BE9L            
C-FGXL      BE9L            
C-FGXO      BE9L            
C-FGXR      BE20            
C-FGXS      BE9L            
C-FGXT      BE9L            
C-FGXU      BE9L            
C-FGXZ      BE9L            
C-FHAB      PC12            
C-FHCE      PC12            
C-FHGA      C208            
C-FHGC      PC12            
C-FHGG      BE10            
C-FHMA      MU2             
C-FHPB      B350            
C-FHRB      C208            
C-FHSP      B350            
C-FHTH      TBM9            
C-FHWA      C208            
C-FHZS      PC12            
C-FIBD      C208            
C-FIBR      B350            
C-FICU      BE20            
